timestamp,src,dst,action,status,message
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\runs\videos,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\backups\legacy_runs_migration_20260224_154353\conflicts\runs\videos,move_to_backup,conflict_moved,destination exists
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\runs,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs,rmdir,removed,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8n_20260221_203737\args.yaml,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8n_20260221_203737\args.yaml,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8n_20260221_203737\weights,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8n_20260221_203737\weights,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8n_20260221_203737,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8n_20260221_203737,rmdir,removed,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260213_163029,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260213_163029,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260213_163323,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260213_163323,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260213_184357,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260213_184357,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260213_185302\args.yaml,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260213_185302\args.yaml,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260213_185302\results.csv,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260213_185302\results.csv,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260213_185302\weights,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260213_185302\weights,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260213_185302,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260213_185302,rmdir,removed,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260221_204223\args.yaml,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260221_204223\args.yaml,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260221_204223\results.csv,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260221_204223\results.csv,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260221_204223\weights,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260221_204223\weights,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260221_204223,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260221_204223,rmdir,removed,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260222_180934\args.yaml,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260222_180934\args.yaml,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260222_180934\results.csv,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260222_180934\results.csv,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260222_180934\weights,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260222_180934\weights,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260222_180934,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260222_180934,rmdir,removed,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260222_203336\args.yaml,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260222_203336\args.yaml,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260222_203336\results.csv,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260222_203336\results.csv,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260222_203336\weights,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260222_203336\weights,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect\yolov8s_20260222_203336,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\yolov8s_20260222_203336,rmdir,removed,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\videos\demo_20260213_211950,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\videos\demo_20260213_211950,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\videos\demo_20260223_103511,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\videos\demo_20260223_103511,move,moved,
20260224_154353,e:\Documents\DandA Notes\Deep Learning\Projects\Second Project\runs\detect\runs\detect,,rmdir,removed,
